Patient,Section,Section Remarks,Infection,Type,Common Causative Agents,Recommended Antibiotic Therapy,Alternative Antibiotic Therapy,Recommended Duration of Treatment,Remarks
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,Hospital acquired pneumonia,High risk of mortality or receipt of intravenous antibiotics during the prior 90 days,"Hospital pathogens such as Coliforms, Pseudomonas, Acinetobacter, Staphylococcus aureus including MRSA","Piperacillin/tazobactam 4.5g, IV, Q6H
PLUS 
Gentamicin 5mg/kg, IV, Q24H","Meropenem 1g, IV, Q8H 
PLUS 
Amikacin 15mg/kg, IV, Q24H",7 days,"If MRSA suspected/isolated, add vancomycin 15mg/kg, IV, Q12H"
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,Ventilator associated pneumonia (VAP),,,"Piperacillin/tazobactam 4.5g, IV, Q6H
PLUS
Gentamicin 5mg/kg, IV, Q24H","Meropenem 1g, IV, Q8H
PLUS
Amikacin 15mg/kg, IV, Q24H",7-14 days,"If MRSA suspected/isolated, addvancomycin 15mg/kg, IV, Q12H"
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,Lung abscess,,"Staphylococcus aureus, Streptococcus pneumoniae, anaerobes, gram-negative rods","Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 500mg, IV or 400mg, PO, Q8H","Ceftriaxone 1g, IV, Q12H
PLUS
Metronidazole 500mg, IV or 400mg, PO, Q8H",4-6 weeks (IV plus oral),Drainage may be required along with antimicrobial therapy for abscess size 6-8cm or large
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,LOWER RESPIRATORY TRACT INFECTIONS,,,,,,,,
Adult,URINARY TRACT INFECTIONS,,Uncomplicated Cystitis in women,,"Escherichia coli , Klebsiella spp., Staphylococcus saprophyticus, Enterococcus faecalis","Nitrofurantoin 100mg, PO, Q6H","Cotrimoxazole 960mg, PO, Q12H for 3 days
OR
Cephalexin 500mg, PO, Q12H",7 days,
Adult,URINARY TRACT INFECTIONS,,UTI in men,,,"Cotrimoxazole 960mg, PO, Q12H","Ciprofloxacin 500mg, PO, Q12H",7 days,"If prostate involved, extend to 14 days."
Adult,URINARY TRACT INFECTIONS,,Acute Pyelonephritis,Uncomplicated,"Coliforms, Pseudomonas","Ciprofloxacin 500mg, PO, Q12H",,10 days,
Adult,URINARY TRACT INFECTIONS,,Acute Pyelonephritis,Complicated,"Coliforms, Pseudomonas","Ceftriaxone 1g, IV, Q24H","Piperacillin/tazobactam 4.5g, IV, Q6H",7-10 days,
Paediatrics,UPPER RESPIRATORY TRACT INFECTIONS,,Acute epiglottitis,General,"Haemophilus influenzae, Streptococcus pneumoniae, Streptococcus pyogenes, Staphylococcus aureus","Ampicillin 25mg/kg, IV, Q6H
PLUS
Chloramphenicol 25mg/kg, IV, Q6H","Ceftriaxone 100mg/kg, IV, Q24H ",5-7 days,It is a medical emergency; Avoid throat examination
Neonates,SKIN INFECTION,,Impetigo neonatorum,General,Methicillin-sensitive Staphylococcus aureus (MSSA),"Cloxacillin, IM/IV",,5 days,
Neonates,SKIN INFECTION,,Impetigo neonatorum,General,Methicillin-resistant Staphylococcus aureus (MRSA),"Vancomycin, IV",,5 days,
Neonates,SKIN INFECTION,,Impetigo neonatorum,General,Group B streptococcus,"Benzylpenicillin, IV","Ampicillin, IM/IV",7-14 days,
Adult,INTRA-ABDOMINAL,,Appendicitis,Uncomplicated/Unclassified,,"Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H
PLUS
Gentamicin 5mg/kg, IV, Q24H","Cefazolin 1g, IV, Q8H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H",Single dose preoperatively and continue 5 to 7 days if managed conservatively,
Adult,INTRA-ABDOMINAL,,Appendicitis,Complicated,,"Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H
PLUS
Gentamicin 5mg/kg, IV, Q24H",Culture based,5-7 days,
Adult,INTRA-ABDOMINAL,,Cholecystitis,,,"Ampicillin 1g, IV, Q6H
PLUS
Gentamicin 5mg/kg, IV, Q24H","Ceftriaxone 1g, IV, Q12H",,
Adult,INTRA-ABDOMINAL,,Cholecystitis,If severe,,"Ciprofloxacin 500mg, IV, Q12H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H",,5-7 days,
Adult,INTRA-ABDOMINAL,,Cholangitis,,,"Ampicillin 1g, IV, Q6H
PLUS
Gentamicin 5mg/kg, IV, Q24H","Ceftriaxone 1g, IV, Q12H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H",5-7 days,"In patient with chronic biliary obstruction, add Metronidazole 7.5mg/kg, IV, Q8H
"
Adult,INTRA-ABDOMINAL,,"Liver abscess",Pyogenic,,"Ciprofloxacin 400mg, IV, Q12H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H","Ceftriaxone 1g, IV, Q12H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H",4-6 weeks,
Adult,INTRA-ABDOMINAL,,Liver abscess,Amoebic,,"Metronidazole 7.5mg/kg, IV, Q8H",,10 days,"Should be followed by diloxanide furoate 500 mg, PO, Q8H for 10 days"
Adult,INTRA-ABDOMINAL,,Duodenal perforation with peritonitis,,,"Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H
PLUS
Gentamicin 5mg/kg, IV, Q24H","Ceftriaxone 1g, IV, Q12H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H",Until patient is put on oral diet,Should be followed by H. pylori eradication regimen
Adult,INTRA-ABDOMINAL,,Intestinal obstruction,,,"Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H
PLUS
Gentamicin 5mg/kg, IV, Q24H",Based on culture,5-7 days,
Adult,INTRA-ABDOMINAL,,Bowel injury,Non-penetrating,,"Ampicillin 1g, IV, Q6H","Cefazolin 1g, IV, Q8H",5-7 days,
Adult,INTRA-ABDOMINAL,,Bowel injury,Penetrating,,"Ampicillin 1g, IV, Q6H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H","Ceftriaxone 1g, IV, Q12H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H",5-7 days,
Adult,INTRA-ABDOMINAL,,Pancreatitis: Complicated (with abscess/necrosis),,,"Piperacillin/tazobactam 4.5g, IV, Q6H","Imipenem 1g, IV, 8QH",,
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Initial empirical therapy,"Streptococcus pneumoniae, Haemophilus influenzae, Neisseria meningitidis","Benzylpenicillin 4MU, IV, Q4H
PLUS
Gentamicin 3mg, IV, Q24H","Cefotaxime 2g, IV, Q6H
OR
Ceftriaxone 1g, IV, Q12H
PLUS
Vancomycin 45 -
60mg/kg, IV, Q24H
*add ampicillin if age 
more than 50 years",10-14 days,"Adjunctive therapy with dexamethasone 10mg, IV, Q6H should be initiated 20 minutes before the 1st dose of antibiotics and 
continued for 4 days
"
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Streptococcus pneumoniae,"Benzylpenicillin 4 MU, IV, Q4H","Ceftriaxone 1g, IV, Q12H",10–14 days,"If isolate resistant to penicillin, patient may need alternative regimen such as 3rd-generation cephalosporins and/or vancomycin"
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Neisseria meningitidis,"Benzylpenicillin 4 MU, IV, Q4H","Ceftriaxone 1g, IV, Q12H",7 days,"Note: Close contacts and patients treated with penicillins should receive prophylaxis with rifampicin 600 mg PO, Q12H for 2 days OR ciprofloxacin 500 mg, PO STAT OR ceftriaxone 250 mg, IM STAT"
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Haemophilus influenzae,"Ampicillin 2g, IV, Q4H","Cefotaxime 2g, IV, Q6H
OR
Ceftriaxone 1g, IV, Q12H",7 days,
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Listeria monocytogenes,"Ampicillin 2g, IV, Q4H","Benzylpenicillin 4 MU, IV, Q4H",21 days (may need up to 6 weeks in immunocompromised patients),Commonly seen in neonates and immunocompromised adults
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Gram-negative bacilli,"Cefotaxime 2g, IV, Q6H
OR
Ceftriaxone 1g, IV, Q12H",,21 days,
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Pseudomonas,"Ciprofloxacin 400 mg IV, Q8H","Ceftazidime 2g, IV, Q8H",21 days,
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Group B Streptococcus,"Benzylpenicillin 4MU,IV, Q4H","Cefotaxime, 2g, IV, Q6H",21 days,Common cause of meningitis in neonates
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,Staphylococcus aureus,"Cloxacillin 2g, IV, Q4H",,7-10 days,Cloxacillin should be given in the highest possible dose
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Organism specific therapy,"Methicillin-resistant Staphylococcus aureus (MRSA)","Vancomycin 15mg/kg, IV, Q12H",,7-10 days,
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,"Due to post-neurosurgery, post head trauma, cochlear implant","Streptococcus pneumoniae most common especially if CSF leakage; Staphylococcus aureus, coliforms and pseudomonas
","Vancomycin 15mg/kg, IV, Q12H
PLUS 
Ceftazidime 2g, IV, Q8H","Vancomycin 15mg/kg, IV, Q12H
PLUS
Meropenem 2g, IV, Q8H","Depend on surgical 
intervention and clinical 
response",Monitor renal function in patients receiving vancomycin and/or meropenem
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Meningitis,Cryptococcal meningitis,"Cryptococcus neoformans (especially in immunocompromised patients including HIV/AIDS)","Amphotericin B liposomal 3 - 4mg/kg, IV, Q24H",,6 - 8 weeks followed by long-term suppressive therapy with oral fluconazole especially in AIDS,Needs special administration
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Encephalitis,,Herpes simplex,"Acyclovir, 10mg/kg, IV, Q8H",,14-21 days,Administered as infusion over 1 hour
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Brain Abscess,,"Polymicrobial including Streptococcus anginosus, anaerobic bacteria, Staphylococcus aureus and gram-negatives
","Benzylpenicillin 4MU, IV, Q4H
PLUS
Metronidazole 1g, IV as loading dose; and then 500mg, IV, Q8H","Ceftriaxone, 1g, IV, Q12H
PLUS
Metronidazole 1g, IV as loading dose; and then 500mg, IV, Q8H","4 to 8 weeks (Duration of treatment depends upon surgical intervention, clinical response and radiological evidence of resolution)",Early surgical consultation is essential
Adult,CENTRAL NERVOUS SYSTEM INFECTIONS,,Neurocysticercosis,,Taenia solium,"Albendazole 400mg, PO, Q12H",,15-30 days,"Prednisolone 1mg/kg, PO one day prior to starting albendazole and continue for 10 days"
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Soft Tissue Infection,Skin surface infection,,"Cloxacillin 2g, IV, Q6H",Culture based,5-7 days,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Soft Tissue Infection,Deep skin infection,,"Ampicillin 25mg/kg, IV, Q6H
PLUS
Metronidazole 7.5mg/kg, IV, 8H
PLUS
Gentamicin 7.5mg/kg, IV, Q24H",Culture based,5-7 days,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Gas gangrene,,,"Ceftriaxone 2g, IV, Q12H",,5-7 days,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Impetigo,Impetigo contagiosa,Streptococcus pyogenes,"Penicillin V 500mg, PO, Q6H","Amoxicillin, 500mg, PO, Q8H",7 days,"Where oral administration is not possible, procaine penicillin 0.6MU, IM, Q24H may be substituted; Where infection is widespread or severe, combine cloxacillin with amoxicillin"
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Impetigo,Bullous impetigo,Staphylococcus aureus,"Cloxacillin, 500mg, PO, Q6H","Erythromycin 500mg, PO, Q6H
",,"Where oral administration is not possible, procaine penicillin 0.6MU, IM, Q24H may be substituted; Where infection is widespread or severe, combine cloxacillin with amoxicillin"
Adult,SKIN AND SOFT TISSUE INFECTIONS,,"Boils, Folliculitis",Staphylococcus aureus,,"Cloxacillin 500mg, PO, Q6H","Cephalexin 500mg, PO, Q8H
OR
Erythromycin 500mg, PO, Q6H
OR
Cotrimoxazole 480mg, PO, Q12H",5 days,Boils usually require I & D
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Burns,,,"Cloxacillin 2g, IV, Q6H ","Ampicillin 25mg/kg, IV, Q6H",,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Erythrasma,,Corynebacterium minutissimum,"Erythromycin 500mg, PO, Q6H ",,5 days,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Erysipelas,,Commonly Streptococcus pyogenes; occasionally Staphylococcus aureusalone or co-infection with Streptococcus pyogenes,"Penicillin V 500mg, PO, Q6H","Erythromycin 500mg, PO, Q6H",7-10 days,"Add cloxacillin, if Staphylococcus aureus suspected"
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Cellulitis,"Following surgical procedure, cuts abrasions, crush injury, insect bites, limb oedema","Staphylococcus aureus, Streptococcus pyogenes","Cloxacillin 500mg, PO, Q6H","Erythromycin 500mg, PO, Q6H
OR
Cephalexin 500 mg, PO, Q6H",7 days,Surgical referral where appropriate
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Cellulitis,Following complicated surgical and orofacial cellulitis,"Staphylococcus aureus, Streptococcus pyogenes and anaerobes","Cloxacillin 500mg, PO, Q6H
PLUS
Metronidazole 500mg, PO, Q8H","Cephalexin 500mg, PO, Q6H
PLUS
Metronidazole 500mg, PO, Q8H",7 days,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,"Paronychia
(Nail infection)",,"Staphylococcus aureus, Streptococcus pyogenes","Cloxacillin 500mg, PO, Q6H","Erythromycin 500mg, PO, Q6H",7 days,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Leg ulcer and foot infections in diabetes,,"Staphylococcus aureus, Streptococcus A, B, C, G; plus, in severe infections anaerobes, coliforms",based on culture,,,
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Bites,Animal,"Staphylococcus aureus, alpha-and beta-haemolytic streptococci, anaerobes, Pasteurella multocida, Capnocytophaga spp.","Penicillin V 500mg, PO, Q6H
PLUS
Metronidazole 500mg, PO, Q8H","Amoxicillin 500mg, PO,Q8H
PLUS
Metronidazole 500mg, PO, Q8H",5-7 days,"Assess for tetanus and rabies risk; Thorough wound cleaning with antiseptics/soap and water immediately after the bite is mandatory; Replace penicillins with doxycycline in penicillin allergy"
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Bites,Human,"Staphylococcus aureus, alpha - & beta - haemolytic streptococci, anaerobes","Penicillin V 500mg, PO, Q6H
PLUS
Metronidazole 500mg, PO, Q8H","Amoxicillin 500mg, PO,Q8H
PLUS
Metronidazole 500mg, PO, Q8H",5-7 days,Assess for Hepatitis B & C risk; HIV risk
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Bites,Snake,"Gram-negative bacteria, Pseudomonas and Staphylococcus","Amoxicillin 500mg, PO, Q8H","Ceftriaxone 1g, IV, Q12H",5-7 days,Consider antibiotic therapy only when there is risk of secondary infection; Consider anti-venom therapy where indicated
Adult,SKIN AND SOFT TISSUE INFECTIONS,,Necrotising fasciitis and soft tissue infection or synergistic gangrene,,Mixed anaerobes and aerobes,"Benzylpenicillin 2.4MU, IV, Q6H
PLUS
Metronidazole 7.5mg/kg, IV, Q8H
PLUS
Gentamicin 5mg/kg, IV, Q24H","Meropenem 1g, IV, Q8H
PLUS
Clindamycin 600-900mg, IV, Q8H
PLUS
Vancomycin 15mg/kg, IV, Q6 - 8H",Treatment should be individualized and continued until no further debridement are needed and patient’s haemodynamic has normalised.,Surgical intervention usually required
